n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
101 , 12651.974 , 6000.0 , 1 
102 , 12410.159 , 3900.0 , 1 
103 , 11880.416 , 6000.0 , 1 
104 , 11728.089 , 6000.0 , 1 
105 , 11521.964 , 6000.0 , 1 
106 , 11277.87 , 6000.0 , 1 
107 , 11008.517 , 40.0 , 1 
108 , 12275.869 , 913.939 , 1 
109 , 12727.274 , 40.0 , 1 
110 , 13216.025 , 1245.482 , 1 
111 , 12932.291 , 40.0 , 1 
112 , 12984.509 , 339.942 , 1 
113 , 12709.752 , 6000.0 , 1 
114 , 13558.476 , 6000.0 , 1 
115 , 14090.18 , 6000.0 , 1 
116 , 14370.855 , 6000.0 , 1 
117 , 14454.953 , 6000.0 , 1 
118 , 14387.232 , 6000.0 , 1 
119 , 14204.332 , 6000.0 , 1 
120 , 13936.105 , 40.0 , 1 
121 , 14516.44 , 816.126 , 1 
122 , 14443.516 , 1509.833 , 1 
123 , 13914.615 , 6000.0 , 1 
124 , 14218.535 , 6000.0 , 1 
125 , 14322.809 , 6000.0 , 1 
126 , 14272.601 , 40.0 , 1 
127 , 14607.151 , 64.0 , 1 
128 , 14626.68 , 44.8 , 1 
129 , 14421.288 , 720.839 , 1 
130 , 13785.887 , 6000.0 , 1 
131 , 14509.718 , 6000.0 , 1 
132 , 14930.94 , 6000.0 , 1 
133 , 15113.889 , 40.0 , 1 
134 , 15072.751 , 369.063 , 1 
135 , 14682.966 , 40.0 , 1 
136 , 14284.28 , 303.674 , 1 
137 , 13657.594 , 197.388 , 1 
138 , 13008.99 , 5658.208 , 1 
139 , 13915.87 , 6000.0 , 1 
140 , 14694.796 , 6000.0 , 1 
141 , 15155.304 , 1154.922 , 1 
142 , 14473.858 , 1847.875 , 1 
143 , 13484.161 , 1293.512 , 1 
144 , 12752.492 , 40.0 , 1 
145 , 12483.33 , 1390.718 , 1 
146 , 11576.306 , 40.0 , 1 
147 , 11229.236 , 64.0 , 1 
148 , 10779.676 , 44.8 , 1 
149 , 10275.249 , 1266.758 , 1 
150 , 9270.961 , 6000.0 , 1 
151 , 11122.158 , 40.0 , 1 
152 , 10739.328 , 40.0 , 1 
153 , 10279.048 , 40.0 , 1 
154 , 9766.663 , 546.084 , 1 
155 , 9032.606 , 40.0 , 1 
156 , 8527.771 , 523.392 , 1 
157 , 7827.364 , 340.205 , 1 
158 , 7245.686 , 40.0 , 1 
159 , 6805.019 , 375.86 , 1 
160 , 6235.983 , 2752.687 , 1 
161 , 6783.702 , 6000.0 , 1 
162 , 9169.636 , 6000.0 , 1 
163 , 10946.841 , 4200.0 , 1 
164 , 11105.218 , 6000.0 , 1 
165 , 12243.583 , 40.0 , 1 
166 , 12143.684 , 558.664 , 1 
167 , 11683.579 , 6000.0 , 1 
168 , 12829.28 , 6000.0 , 1 
169 , 13599.749 , 6000.0 , 1 
170 , 14070.895 , 40.0 , 1 
171 , 14053.56 , 1081.17 , 1 
172 , 13430.885 , 2000.165 , 1 
