n,timeoutinterval,samplertt,retransmission 

 a,b = (0.125,0.125) 
101 , 12585.8954297 , 6000.0 , 1 
102 , 13513.7601862 , 4200.0 , 1 
103 , 14106.7541375 , 40.0 , 1 
104 , 13309.0970981 , 40.0 , 1 
105 , 13344.8586366 , 40.0 , 1 
106 , 13164.3501482 , 74.0 , 1 
107 , 12821.0803658 , 1066.409 , 1 
108 , 12345.8100579 , 6000.0 , 1 
109 , 11418.0308213 , 6000.0 , 1 
110 , 12785.69481 , 6000.0 , 1 
111 , 13726.7860699 , 6000.0 , 1 
112 , 14326.5780334 , 4200.0 , 1 
113 , 14655.6909738 , 40.0 , 1 
114 , 13647.4228972 , 71.565 , 1 
115 , 13765.1384018 , 2117.829 , 1 
116 , 13628.9721724 , 3917.984 , 1 
117 , 12545.536416 , 6000.0 , 1 
118 , 12056.1448664 , 6000.0 , 1 
119 , 12855.5556977 , 40.0 , 1 
120 , 13360.4865576 , 594.117 , 1 
121 , 13483.784831 , 1099.116 , 1 
122 , 13160.3320586 , 6000.0 , 1 
123 , 12526.9667945 , 6000.0 , 1 
124 , 13396.5370449 , 6000.0 , 1 
125 , 13946.7308765 , 6000.0 , 1 
126 , 14243.8053589 , 3900.0 , 1 
127 , 14342.4435508 , 6000.0 , 1 
128 , 13099.1634779 , 6000.0 , 1 
129 , 13207.4958436 , 40.0 , 1 
130 , 13177.8206885 , 226.981 , 1 
131 , 13753.2390052 , 419.915 , 1 
132 , 13909.4064196 , 2684.421 , 1 
133 , 13742.833949 , 6000.0 , 1 
134 , 12557.9415426 , 6000.0 , 1 
135 , 13223.2552891 , 6000.0 , 1 
136 , 13619.7727623 , 6000.0 , 1 
137 , 13804.2975033 , 4200.0 , 1 
138 , 13823.6321097 , 6000.0 , 1 
139 , 12650.165276 , 40.0 , 1 
140 , 12693.093334 , 937.591 , 1 
141 , 13326.5327894 , 1500.146 , 1 
142 , 13267.3111727 , 1050.102 , 1 
143 , 12818.3596196 , 6000.0 , 1 
144 , 12466.550499 , 40.0 , 1 
145 , 13153.86049 , 1291.936 , 1 
146 , 13185.9527258 , 2390.082 , 1 
147 , 12535.6418325 , 6000.0 , 1 
148 , 11450.2599012 , 6000.0 , 1 
149 , 12413.9749968 , 6000.0 , 1 
150 , 13051.6010075 , 6000.0 , 1 
151 , 13429.6021562 , 6000.0 , 1 
152 , 13602.921752 , 4200.0 , 1 
153 , 13616.8239152 , 4590.667 , 1 
154 , 12495.9869664 , 40.0 , 1 
155 , 11653.9226851 , 715.656 , 1 
156 , 12349.6777243 , 1145.05 , 1 
157 , 12436.6554617 , 801.535 , 1 
158 , 12159.0844254 , 40.0 , 1 
159 , 11903.2929378 , 290.642 , 1 
160 , 11819.5632373 , 6000.0 , 1 
161 , 11477.4112598 , 3900.0 , 1 
162 , 12685.8210723 , 40.0 , 1 
163 , 12194.0438808 , 980.972 , 1 
164 , 12074.1442585 , 6000.0 , 1 
165 , 11441.4481061 , 6000.0 , 1 
166 , 12611.0745104 , 6000.0 , 1 
